"term","sentiment"
":&","-17.647059"
":(","-55.882353"
":)","58.823529"
":*","73.529412"
":/","-41.176471"
":?)","38.235294"
":?c","-47.058824"
":@","-73.529412"
":[","-58.823529"
":\","-38.235294"
":]","64.705882"
":^)","61.764706"
":^*","76.470588"
":^/","-35.294118"
":^\","-29.411765"
":^|","-29.411765"
":{","-55.882353"
":|","-11.764706"
":}","61.764706"
":<","-61.764706"
":>","61.764706"
":3","67.647059"
":c","-61.764706"
":c)","58.823529"
":d","67.647059"
":D","67.647059"
":l","-50"
":o","-11.764706"
":o)","61.764706"
":o/","-41.176471"
":o\","-32.352941"
":o|","-17.647059"
":p","30.882353"
":P","41.176471"
":s","-35.294118"
";-)","29.411765"
";-*","64.705882"
";-]","20.588235"
";)","26.470588"
";]","17.647059"
";^)","41.176471"
";d","23.529412"
";D","23.529412"
"@:","-61.764706"
"@}-;-'---","64.705882"
"@>-->--","61.764706"
"[-;","14.705882"
"[:","38.235294"
"[;","29.411765"
"[=","50"
"\-:","-29.411765"
"\:","-29.411765"
"\:<","-50"
"\^:","-38.235294"
"\=","-32.352941"
"\o/","64.705882"
"\o:","-35.294118"
"]-:","-61.764706"
"]:","-47.058824"
"]:<","-73.529412"
"^< <","41.176471"
"^urs","-82.352941"
"{:","52.941176"
"|-:","-23.529412"
"|-:>","-47.058824"
"|-0","-35.294118"
"|-o","-35.294118"
"|:","-14.705882"
"|;-)","64.705882"
"|^:","-32.352941"
"||-:","-67.647059"
"|=","-11.764706"
"|o:","-26.470588"
"}:","-61.764706"
"}:-(","-61.764706"
"}:-)","8.823529"
"}:(","-58.823529"
"}:)","11.764706"
"</3","-88.235294"
"<:","61.764706"
"<:-|","-41.176471"
"<3","55.882353"
"=-3","58.823529"
"=-d","70.588235"
"=-D","70.588235"
"=)","64.705882"
"=/","-41.176471"
"=\","-35.294118"
"=]","47.058824"
"=|","-23.529412"
"=3","61.764706"
"=d","67.647059"
"=D","67.647059"
"=l","-35.294118"
"=p","38.235294"
">-:","-58.823529"
"> >^","61.764706"
">.<","-38.235294"
">:","-61.764706"
">:-(","-79.411765"
">:-)","-11.764706"
">:(","-79.411765"
">:)","11.764706"
">:/","-47.058824"
">:[","-61.764706"
">:\","-50"
">:o","-35.294118"
">:p","29.411765"
">;(","-85.294118"
">;)","2.941176"
"0-|","-35.294118"
"0-8","2.941176"
"0 o","-8.823529"
"0:-)","41.176471"
"0:-3","44.117647"
"0:)","55.882353"
"0:03","55.882353"
"0;^)","47.058824"
"10q","61.764706"
"1337","61.764706"
"143","94.117647"
"1432","76.470588"
"14aa41","70.588235"
"182","-85.294118"
"187","-91.176471"
"2g2b4g","82.352941"
"2g2bt","-2.941176"
"2qt","61.764706"
"3:-(","-67.647059"
"3:-)","-41.176471"
"3:(","-64.705882"
"3:)","14.705882"
"4col","-64.705882"
"4q","-91.176471"
"5fs","44.117647"
"8-d","50"
"8-o","-8.823529"
"8)","55.882353"
"86","-47.058824"
"8d","85.294118"
"aas","73.529412"
"aayf","79.411765"
"abandon","-55.882353"
"abandoned","-58.823529"
"abandoner","-55.882353"
"abandoners","-55.882353"
"abandoning","-47.058824"
"abandonment","-70.588235"
"abandonments","-50"
"abandons","-38.235294"
"abducted","-67.647059"
"abduction","-82.352941"
"abductions","-58.823529"
"abhor","-58.823529"
"abhorred","-70.588235"
"abhorrent","-91.176471"
"abhors","-85.294118"
"abilities","29.411765"
"ability","38.235294"
"aboard","2.941176"
"absentee","-32.352941"
"absentees","-23.529412"
"absolve","35.294118"
"absolved","44.117647"
"absolves","38.235294"
"absolving","47.058824"
"abuse","-94.117647"
"abused","-67.647059"
"abuser","-76.470588"
"abusers","-76.470588"
"abuses","-76.470588"
"abusing","-58.823529"
"abusive","-94.117647"
"abusively","-82.352941"
"abusiveness","-73.529412"
"abusivenesses","-88.235294"
"accept","47.058824"
"acceptabilities","47.058824"
"acceptability","32.352941"
"acceptable","38.235294"
"acceptableness","38.235294"
"acceptably","44.117647"
"acceptance","58.823529"
"acceptances","50"
"acceptant","47.058824"
"acceptation","38.235294"
"acceptations","26.470588"
"accepted","32.352941"
"accepting","47.058824"
"accepts","38.235294"
"accident","-61.764706"
"accidental","-8.823529"
"accidentally","-41.176471"
"accidents","-38.235294"
"accomplish","52.941176"
"accomplished","55.882353"
"accomplishes","50"
"accusation","-29.411765"
"accusations","-38.235294"
"accuse","-23.529412"
"accused","-35.294118"
"accuses","-41.176471"
"accusing","-20.588235"
"ache","-47.058824"
"ached","-47.058824"
"aches","-29.411765"
"achievable","38.235294"
"aching","-64.705882"
"acquit","23.529412"
"acquits","2.941176"
"acquitted","29.411765"
"acquitting","38.235294"
"acrimonious","-50"
"active","50"
"actively","38.235294"
"activeness","17.647059"
"activenesses","23.529412"
"actives","32.352941"
"adequate","26.470588"
"admirability","70.588235"
"admirable","76.470588"
"admirableness","64.705882"
"admirably","73.529412"
"admiral","38.235294"
"admirals","44.117647"
"admiralties","47.058824"
"admiralty","35.294118"
"admiration","73.529412"
"admirations","47.058824"
"admire","61.764706"
"admired","67.647059"
"admirer","52.941176"
"admirers","50"
"admires","44.117647"
"admiring","47.058824"
"admiringly","67.647059"
"admit","23.529412"
"admits","35.294118"
"admitted","11.764706"
"admonished","-55.882353"
"adopt","20.588235"
"adopts","20.588235"
"adorability","64.705882"
"adorable","64.705882"
"adorableness","73.529412"
"adorably","61.764706"
"adoration","85.294118"
"adorations","64.705882"
"adore","76.470588"
"adored","52.941176"
"adorer","50"
"adorers","61.764706"
"adores","47.058824"
"adoring","76.470588"
"adoringly","70.588235"
"adorn","26.470588"
"adorned","23.529412"
"adorner","38.235294"
"adorners","26.470588"
"adorning","29.411765"
"adornment","38.235294"
"adornments","23.529412"
"adorns","14.705882"
"advanced","29.411765"
"advantage","29.411765"
"advantaged","41.176471"
"advantageous","44.117647"
"advantageously","55.882353"
"advantageousness","47.058824"
"advantages","44.117647"
"advantaging","47.058824"
"adventure","38.235294"
"adventured","38.235294"
"adventurer","35.294118"
"adventurers","26.470588"
"adventures","41.176471"
"adventuresome","50"
"adventuresomeness","38.235294"
"adventuress","23.529412"
"adventuresses","41.176471"
"adventuring","67.647059"
"adventurism","44.117647"
"adventurist","41.176471"
"adventuristic","50"
"adventurists","35.294118"
"adventurous","41.176471"
"adventurously","38.235294"
"adventurousness","52.941176"
"adversarial","-44.117647"
"adversaries","-29.411765"
"adversary","-23.529412"
"adversative","-35.294118"
"adversatively","-2.941176"
"adversatives","-29.411765"
"adverse","-44.117647"
"adversely","-23.529412"
"adverseness","-17.647059"
"adversities","-44.117647"
"adversity","-52.941176"
"affected","-17.647059"
"affection","70.588235"
"affectional","55.882353"
"affectionally","44.117647"
"affectionate","55.882353"
"affectionately","64.705882"
"affectioned","52.941176"
"affectionless","-58.823529"
"affections","44.117647"
"afflicted","-44.117647"
"affronted","5.882353"
"afu","-85.294118"
"aggravate","-73.529412"
"aggravated","-55.882353"
"aggravates","-55.882353"
"aggravating","-35.294118"
"aggress","-38.235294"
"aggressed","-41.176471"
"aggresses","-14.705882"
"aggressing","-17.647059"
"aggression","-35.294118"
"aggressions","-38.235294"
"aggressive","-17.647059"
"aggressively","-38.235294"
"aggressiveness","-52.941176"
"aggressivities","-41.176471"
"aggressivity","-17.647059"
"aggressor","-23.529412"
"aggressors","-26.470588"
"aghast","-55.882353"
"agitate","-50"
"agitated","-58.823529"
"agitatedly","-47.058824"
"agitates","-41.176471"
"agitating","-52.941176"
"agitation","-29.411765"
"agitational","-35.294118"
"agitations","-38.235294"
"agitative","-38.235294"
"agitato","-2.941176"
"agitator","-41.176471"
"agitators","-61.764706"
"agog","55.882353"
"agonise","-61.764706"
"agonised","-67.647059"
"agonises","-70.588235"
"agonising","-44.117647"
"agonize","-67.647059"
"agonized","-64.705882"
"agonizes","-67.647059"
"agonizing","-79.411765"
"agonizingly","-67.647059"
"agony","-52.941176"
"agree","44.117647"
"agreeability","55.882353"
"agreeable","52.941176"
"agreeableness","52.941176"
"agreeablenesses","38.235294"
"agreeably","47.058824"
"agreed","32.352941"
"agreeing","41.176471"
"agreement","64.705882"
"agreements","32.352941"
"agrees","23.529412"
"alarm","-41.176471"
"alarmed","-41.176471"
"alarming","-14.705882"
"alarmingly","-76.470588"
"alarmism","-8.823529"
"alarmists","-32.352941"
"alarms","-32.352941"
"alas","-32.352941"
"alert","35.294118"
"alienation","-32.352941"
"alive","47.058824"
"allergic","-35.294118"
"allow","26.470588"
"alol","82.352941"
"alone","-29.411765"
"alright","29.411765"
"amaze","73.529412"
"amazed","64.705882"
"amazedly","61.764706"
"amazement","73.529412"
"amazements","64.705882"
"amazes","64.705882"
"amazing","82.352941"
"amazon","20.588235"
"amazonite","5.882353"
"amazons","-2.941176"
"amazonstone","29.411765"
"amazonstones","5.882353"
"ambitious","61.764706"
"ambivalent","14.705882"
"ambw","85.294118"
"aml","100"
"amor","88.235294"
"amoral","-47.058824"
"amoralism","-20.588235"
"amoralisms","-20.588235"
"amoralities","-35.294118"
"amorality","-44.117647"
"amorally","-29.411765"
"amoretti","5.882353"
"amoretto","17.647059"
"amorettos","8.823529"
"amorino","35.294118"
"amorist","47.058824"
"amoristic","29.411765"
"amorists","2.941176"
"amoroso","67.647059"
"amorous","52.941176"
"amorously","67.647059"
"amorousness","58.823529"
"amorphous","-5.882353"
"amorphously","2.941176"
"amorphousness","8.823529"
"amort","-61.764706"
"amortise","14.705882"
"amortised","-5.882353"
"amortises","2.941176"
"amortizable","14.705882"
"amortization","17.647059"
"amortizations","5.882353"
"amortize","-2.941176"
"amortized","23.529412"
"amortizes","17.647059"
"amortizing","23.529412"
"amusable","20.588235"
"amuse","50"
"amused","52.941176"
"amusedly","64.705882"
"amusement","44.117647"
"amusements","44.117647"
"amuser","32.352941"
"amusers","38.235294"
"amuses","50"
"amusia","8.823529"
"amusias","-11.764706"
"amusing","47.058824"
"amusingly","23.529412"
"amusingness","52.941176"
"amusive","50"
"anger","-79.411765"
"angered","-67.647059"
"angering","-64.705882"
"angerly","-55.882353"
"angers","-67.647059"
"angrier","-67.647059"
"angriest","-91.176471"
"angrily","-52.941176"
"angriness","-50"
"angry","-67.647059"
"anguish","-85.294118"
"anguished","-52.941176"
"anguishes","-61.764706"
"anguishing","-79.411765"
"animosity","-55.882353"
"annoy","-55.882353"
"annoyance","-38.235294"
"annoyances","-52.941176"
"annoyed","-47.058824"
"annoyer","-64.705882"
"annoyers","-44.117647"
"annoying","-50"
"annoys","-52.941176"
"antagonism","-55.882353"
"antagonisms","-35.294118"
"antagonist","-55.882353"
"antagonistic","-50"
"antagonistically","-64.705882"
"antagonists","-50"
"antagonize","-58.823529"
"antagonized","-41.176471"
"antagonizes","-14.705882"
"antagonizing","-79.411765"
"anti","-38.235294"
"anticipation","11.764706"
"anxieties","-17.647059"
"anxiety","-20.588235"
"anxious","-29.411765"
"anxiously","-26.470588"
"anxiousness","-29.411765"
"aok","58.823529"
"apathetic","-35.294118"
"apathetically","-11.764706"
"apathies","-17.647059"
"apathy","-35.294118"
"apeshit","-26.470588"
"apocalyptic","-100"
"apologise","47.058824"
"apologised","11.764706"
"apologises","23.529412"
"apologising","5.882353"
"apologize","11.764706"
"apologized","38.235294"
"apologizes","44.117647"
"apologizing","-8.823529"
"apology","5.882353"
"appall","-70.588235"
"appalled","-58.823529"
"appalling","-44.117647"
"appallingly","-58.823529"
"appalls","-55.882353"
"appease","32.352941"
"appeased","26.470588"
"appeases","26.470588"
"appeasing","29.411765"
"applaud","58.823529"
"applauded","44.117647"
"applauding","61.764706"
"applauds","41.176471"
"applause","52.941176"
"appreciate","50"
"appreciated","67.647059"
"appreciates","67.647059"
"appreciating","55.882353"
"appreciation","67.647059"
"appreciations","50"
"appreciative","76.470588"
"appreciatively","52.941176"
"appreciativeness","47.058824"
"appreciator","76.470588"
"appreciators","44.117647"
"appreciatory","50"
"apprehensible","32.352941"
"apprehensibly","-5.882353"
"apprehension","-61.764706"
"apprehensions","-26.470588"
"apprehensively","-8.823529"
"apprehensiveness","-20.588235"
"approval","61.764706"
"approved","52.941176"
"approves","50"
"ardent","61.764706"
"arguable","-29.411765"
"arguably","-29.411765"
"argue","-41.176471"
"argued","-44.117647"
"arguer","-47.058824"
"arguers","-41.176471"
"argues","-47.058824"
"arguing","-58.823529"
"argument","-44.117647"
"argumentative","-44.117647"
"argumentatively","-52.941176"
"argumentive","-44.117647"
"arguments","-50"
"arrest","-41.176471"
"arrested","-61.764706"
"arrests","-55.882353"
"arrogance","-70.588235"
"arrogances","-55.882353"
"arrogant","-64.705882"
"arrogantly","-52.941176"
"ashamed","-61.764706"
"ashamedly","-50"
"ass","-73.529412"
"assassination","-85.294118"
"assassinations","-79.411765"
"assault","-82.352941"
"assaulted","-70.588235"
"assaulting","-67.647059"
"assaultive","-82.352941"
"assaults","-73.529412"
"asset","44.117647"
"assets","20.588235"
"assfucking","-73.529412"
"assholes","-82.352941"
"assurance","41.176471"
"assurances","41.176471"
"assure","41.176471"
"assured","44.117647"
"assuredly","47.058824"
"assuredness","41.176471"
"assurer","26.470588"
"assurers","32.352941"
"assures","38.235294"
"assurgent","38.235294"
"assuring","47.058824"
"assuror","14.705882"
"assurors","20.588235"
"astonished","47.058824"
"astound","50"
"astounded","52.941176"
"astounding","52.941176"
"astoundingly","61.764706"
"astounds","61.764706"
"atab","-55.882353"
"attachment","35.294118"
"attachments","32.352941"
"attack","-61.764706"
"attacked","-58.823529"
"attacker","-79.411765"
"attackers","-79.411765"
"attacking","-58.823529"
"attacks","-55.882353"
"attract","44.117647"
"attractancy","26.470588"
"attractant","38.235294"
"attractants","41.176471"
"attracted","52.941176"
"attracting","61.764706"
"attraction","58.823529"
"attractions","52.941176"
"attractive","55.882353"
"attractively","64.705882"
"attractiveness","52.941176"
"attractivenesses","61.764706"
"attractor","35.294118"
"attractors","35.294118"
"attracts","50"
"audacious","26.470588"
"aug-00","8.823529"
"authority","8.823529"
"aversion","-55.882353"
"aversions","-32.352941"
"aversive","-47.058824"
"aversively","-23.529412"
"avert","-20.588235"
"averted","-8.823529"
"averts","-11.764706"
"avid","35.294118"
"avoid","-35.294118"
"avoidance","-50"
"avoidances","-32.352941"
"avoided","-41.176471"
"avoider","-52.941176"
"avoiders","-41.176471"
"avoiding","-41.176471"
"avoids","-20.588235"
"await","11.764706"
"awaited","-2.941176"
"awaits","8.823529"
"award","73.529412"
"awardable","70.588235"
"awarded","50"
"awardee","52.941176"
"awardees","35.294118"
"awarder","26.470588"
"awarders","38.235294"
"awarding","55.882353"
"awards","58.823529"
"awesome","91.176471"
"awful","-58.823529"
"awkward","-17.647059"
"awkwardly","-38.235294"
"awkwardness","-20.588235"
"awol","-38.235294"
"axe","-11.764706"
"axed","-38.235294"
"ayc","5.882353"
"ayor","-35.294118"
"b^d","76.470588"
"backed","2.941176"
"backing","2.941176"
"backs","-5.882353"
"bad","-73.529412"
"badass","41.176471"
"badly","-61.764706"
"bailout","-11.764706"
"bamboozle","-44.117647"
"bamboozled","-44.117647"
"bamboozles","-44.117647"
"ban","-76.470588"
"banish","-55.882353"
"bankrupt","-76.470588"
"bankster","-61.764706"
"banned","-58.823529"
"bargain","23.529412"
"barrier","-14.705882"
"bashful","-2.941176"
"bashfully","5.882353"
"bashfulness","-23.529412"
"bastard","-73.529412"
"bastardies","-52.941176"
"bastardise","-61.764706"
"bastardised","-67.647059"
"bastardises","-67.647059"
"bastardising","-76.470588"
"bastardization","-70.588235"
"bastardizations","-61.764706"
"bastardize","-70.588235"
"bastardized","-58.823529"
"bastardizes","-52.941176"
"bastardizing","-67.647059"
"bastardly","-79.411765"
"bastards","-88.235294"
"bastardy","-79.411765"
"battle","-47.058824"
"battled","-35.294118"
"battlefield","-47.058824"
"battlefields","-26.470588"
"battlefront","-35.294118"
"battlefronts","-23.529412"
"battleground","-50"
"battlegrounds","-17.647059"
"battlement","-11.764706"
"battlements","-11.764706"
"battler","-23.529412"
"battlers","-5.882353"
"battles","-47.058824"
"battleship","-2.941176"
"battleships","-14.705882"
"battlewagon","-8.823529"
"battlewagons","-14.705882"
"battling","-32.352941"
"beaten","-52.941176"
"beatific","52.941176"
"beating","-58.823529"
"beaut","47.058824"
"beauteous","73.529412"
"beauteously","76.470588"
"beauteousness","79.411765"
"beautician","35.294118"
"beauticians","11.764706"
"beauties","70.588235"
"beautification","55.882353"
"beautifications","70.588235"
"beautified","61.764706"
"beautifier","50"
"beautifiers","50"
"beautifies","52.941176"
"beautiful","85.294118"
"beautifuler","61.764706"
"beautifulest","76.470588"
"beautifully","79.411765"
"beautifulness","76.470588"
"beautify","67.647059"
"beautifying","67.647059"
"beauts","50"
"beauty","82.352941"
"belittle","-55.882353"
"belittled","-58.823529"
"beloved","67.647059"
"benefic","41.176471"
"benefice","11.764706"
"beneficed","32.352941"
"beneficence","82.352941"
"beneficences","44.117647"
"beneficent","67.647059"
"beneficently","64.705882"
"benefices","32.352941"
"beneficial","55.882353"
"beneficially","70.588235"
"beneficialness","50"
"beneficiaries","52.941176"
"beneficiary","61.764706"
"beneficiate","29.411765"
"beneficiation","11.764706"
"benefit","58.823529"
"benefits","47.058824"
"benefitted","50"
"benefitting","55.882353"
"benevolence","50"
"benevolences","55.882353"
"benevolent","79.411765"
"benevolently","41.176471"
"benevolentness","35.294118"
"benign","38.235294"
"benignancy","17.647059"
"benignant","64.705882"
"benignantly","32.352941"
"benignities","26.470588"
"benignity","38.235294"
"benignly","5.882353"
"bereave","-61.764706"
"bereaved","-61.764706"
"bereaves","-55.882353"
"bereaving","-38.235294"
"best","94.117647"
"betray","-94.117647"
"betrayal","-82.352941"
"betrayed","-88.235294"
"betraying","-73.529412"
"betrays","-73.529412"
"better","55.882353"
"bfd","-79.411765"
"bfe","-76.470588"
"bff","85.294118"
"bffn","29.411765"
"bias","-11.764706"
"biased","-32.352941"
"bitch","-82.352941"
"bitched","-76.470588"
"bitcheries","-67.647059"
"bitchery","-79.411765"
"bitches","-85.294118"
"bitchier","-58.823529"
"bitchiest","-88.235294"
"bitchily","-76.470588"
"bitchiness","-76.470588"
"bitching","-32.352941"
"bitchy","-67.647059"
"bitter","-52.941176"
"bitterbrush","-5.882353"
"bitterbrushes","-17.647059"
"bittered","-52.941176"
"bitterer","-55.882353"
"bitterest","-67.647059"
"bittering","-35.294118"
"bitterish","-47.058824"
"bitterly","-58.823529"
"bittern","-5.882353"
"bitterness","-50"
"bitterns","-11.764706"
"bitterroots","-5.882353"
"bitters","-11.764706"
"bittersweet","-8.823529"
"bittersweetness","-17.647059"
"bittersweets","-5.882353"
"bitterweeds","-14.705882"
"bizarre","-38.235294"
"bl","67.647059"
"blah","-11.764706"
"blam","-5.882353"
"blamable","-52.941176"
"blamably","-52.941176"
"blame","-41.176471"
"blamed","-61.764706"
"blameful","-50"
"blamefully","-47.058824"
"blameless","20.588235"
"blamelessly","26.470588"
"blamelessness","17.647059"
"blamer","-61.764706"
"blamers","-58.823529"
"blames","-50"
"blameworthiness","-47.058824"
"blameworthy","-67.647059"
"blaming","-64.705882"
"bless","52.941176"
"blessed","85.294118"
"blesseder","58.823529"
"blessedest","82.352941"
"blessedly","50"
"blessedness","47.058824"
"blesser","76.470588"
"blessers","55.882353"
"blesses","76.470588"
"blessing","64.705882"
"blessings","73.529412"
"blind","-50"
"bliss","79.411765"
"blissful","85.294118"
"blithe","35.294118"
"block","-55.882353"
"blockbuster","85.294118"
"blocked","-32.352941"
"blocking","-47.058824"
"blocks","-26.470588"
"bloody","-55.882353"
"blurry","-11.764706"
"bold","47.058824"
"bolder","35.294118"
"boldest","47.058824"
"boldface","8.823529"
"boldfaced","-2.941176"
"boldfaces","2.941176"
"boldfacing","2.941176"
"boldly","44.117647"
"boldness","44.117647"
"boldnesses","26.470588"
"bolds","38.235294"
"bomb","-64.705882"
"bonus","73.529412"
"bonuses","76.470588"
"boost","50"
"boosted","44.117647"
"boosting","41.176471"
"boosts","38.235294"
"bore","-29.411765"
"boreal","-8.823529"
"borecole","-5.882353"
"borecoles","-8.823529"
"bored","-32.352941"
"boredom","-38.235294"
"boredoms","-32.352941"
"boreen","2.941176"
"boreens","5.882353"
"boreholes","-5.882353"
"borer","-11.764706"
"borers","-35.294118"
"bores","-38.235294"
"borescopes","-2.941176"
"boresome","-38.235294"
"boring","-38.235294"
"bother","-41.176471"
"botheration","-50"
"botherations","-38.235294"
"bothered","-38.235294"
"bothering","-47.058824"
"bothers","-23.529412"
"bothersome","-38.235294"
"boycott","-38.235294"
"boycotted","-50"
"boycotting","-50"
"boycotts","-41.176471"
"brainwashing","-44.117647"
"brave","70.588235"
"braved","55.882353"
"bravely","67.647059"
"braver","70.588235"
"braveries","58.823529"
"bravery","64.705882"
"braves","55.882353"
"bravest","67.647059"
"breathtaking","58.823529"
"bribe","-23.529412"
"bright","55.882353"
"brighten","55.882353"
"brightened","61.764706"
"brightener","29.411765"
"brighteners","29.411765"
"brightening","73.529412"
"brightens","44.117647"
"brighter","47.058824"
"brightest","88.235294"
"brightly","44.117647"
"brightness","47.058824"
"brightnesses","41.176471"
"brights","11.764706"
"brightwork","32.352941"
"brilliance","85.294118"
"brilliances","85.294118"
"brilliancies","67.647059"
"brilliancy","76.470588"
"brilliant","82.352941"
"brilliantine","23.529412"
"brilliantines","58.823529"
"brilliantly","88.235294"
"brilliants","55.882353"
"brisk","17.647059"
"broke","-52.941176"
"broken","-61.764706"
"brooding","2.941176"
"brutal","-91.176471"
"brutalise","-79.411765"
"brutalised","-85.294118"
"brutalises","-94.117647"
"brutalising","-82.352941"
"brutalities","-76.470588"
"brutality","-88.235294"
"brutalization","-61.764706"
"brutalizations","-67.647059"
"brutalize","-85.294118"
"brutalized","-70.588235"
"brutalizes","-94.117647"
"brutalizing","-100"
"brutally","-88.235294"
"bsod","-64.705882"
"btd","-61.764706"
"btdt","-2.941176"
"bullied","-91.176471"
"bullshit","-82.352941"
"bully","-64.705882"
"bullying","-85.294118"
"bummer","-47.058824"
"buoyant","26.470588"
"burden","-55.882353"
"burdened","-50"
"burdener","-38.235294"
"burdeners","-50"
"burdening","-41.176471"
"burdens","-44.117647"
"burdensome","-52.941176"
"bwahaha","11.764706"
"bwahahah","73.529412"
"bz","11.764706"
"calm","38.235294"
"calmative","32.352941"
"calmatives","14.705882"
"calmed","47.058824"
"calmer","44.117647"
"calmest","47.058824"
"calming","50"
"calmly","38.235294"
"calmness","50"
"calmnesses","47.058824"
"calmodulin","5.882353"
"calms","38.235294"
"can't stand","-58.823529"
"cancel","-29.411765"
"cancelled","-29.411765"
"cancelling","-23.529412"
"cancels","-26.470588"
"cancer","-100"
"capable","47.058824"
"captivated","47.058824"
"care","64.705882"
"cared","52.941176"
"carefree","50"
"careful","17.647059"
"carefully","14.705882"
"carefulness","58.823529"
"careless","-44.117647"
"carelessly","-29.411765"
"carelessness","-41.176471"
"carelessnesses","-47.058824"
"cares","58.823529"
"caring","64.705882"
"casual","23.529412"
"casually","20.588235"
"casualty","-70.588235"
"catastrophe","-100"
"catastrophic","-64.705882"
"cautious","-11.764706"
"celebrate","79.411765"
"celebrated","79.411765"
"celebrates","79.411765"
"celebrating","79.411765"
"censor","-58.823529"
"censored","-17.647059"
"censors","-35.294118"
"certain","32.352941"
"certainly","41.176471"
"certainties","26.470588"
"certainty","29.411765"
"chagrin","-55.882353"
"chagrined","-41.176471"
"challenge","8.823529"
"challenged","-11.764706"
"challenger","14.705882"
"challengers","11.764706"
"challenges","8.823529"
"challenging","17.647059"
"challengingly","-17.647059"
"champ","61.764706"
"champac","-5.882353"
"champagne","35.294118"
"champagnes","14.705882"
"champaign","5.882353"
"champaigns","14.705882"
"champaks","-5.882353"
"champed","29.411765"
"champer","-2.941176"
"champers","14.705882"
"champerties","-2.941176"
"champertous","8.823529"
"champerty","-5.882353"
"champignon","11.764706"
"champignons","5.882353"
"champing","20.588235"
"champion","85.294118"
"championed","35.294118"
"championing","52.941176"
"champions","70.588235"
"championship","55.882353"
"championships","64.705882"
"champs","52.941176"
"champy","29.411765"
"chance","29.411765"
"chances","23.529412"
"chaos","-79.411765"
"chaotic","-64.705882"
"charged","-23.529412"
"charges","-32.352941"
"charitable","50"
"charitableness","55.882353"
"charitablenesses","47.058824"
"charitably","41.176471"
"charities","64.705882"
"charity","52.941176"
"charm","50"
"charmed","58.823529"
"charmer","55.882353"
"charmers","61.764706"
"charmeuse","8.823529"
"charmeuses","11.764706"
"charming","82.352941"
"charminger","44.117647"
"charmingest","70.588235"
"charmingly","64.705882"
"charmless","-52.941176"
"charms","55.882353"
"chastise","-73.529412"
"chastised","-64.705882"
"chastises","-50"
"chastising","-50"
"cheat","-58.823529"
"cheated","-67.647059"
"cheater","-73.529412"
"cheaters","-55.882353"
"cheating","-76.470588"
"cheats","-52.941176"
"cheer","67.647059"
"cheered","67.647059"
"cheerer","50"
"cheerers","52.941176"
"cheerful","73.529412"
"cheerfuller","55.882353"
"cheerfullest","94.117647"
"cheerfully","61.764706"
"cheerfulness","61.764706"
"cheerier","76.470588"
"cheeriest","64.705882"
"cheerily","73.529412"
"cheeriness","73.529412"
"cheering","67.647059"
"cheerio","35.294118"
"cheerlead","50"
"cheerleader","26.470588"
"cheerleaders","35.294118"
"cheerleading","35.294118"
"cheerleads","35.294118"
"cheerled","44.117647"
"cheerless","-50"
"cheerlessly","-23.529412"
"cheerlessness","-50"
"cheerly","70.588235"
"cheers","61.764706"
"cheery","76.470588"
"cherish","47.058824"
"cherishable","58.823529"
"cherished","67.647059"
"cherisher","64.705882"
"cherishers","55.882353"
"cherishes","64.705882"
"cherishing","58.823529"
"chic","32.352941"
"childish","-35.294118"
"chilling","-2.941176"
"choke","-73.529412"
"choked","-61.764706"
"chokes","-58.823529"
